project_id	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	geoname_adm_code	geonames_adm_name
RDC0709111	1260	4.2	Nez̧āmābād	37.0437	45.9491	PPL	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
RDC0709111	1252	4.2	Khalīfeh Kandī	37.2904	46.3582	PPL	IR|33	Iran|East Azerbaijan
RDC0709111	1257	4.2	Ārpā Darrehsī	37.0749	46.3968	PPL	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
RDC1318311	212902	1	Kindu	-2.94373	25.92237	PPLA	CD|10	Democratic Republic of the Congo|Maniema
RDC1318311	211572	1	Lokandu	-2.53158	25.74578	PPL	CD|10	Democratic Republic of the Congo|Maniema
RDC1318311	1259	4.2	Qermez Khalīfeh-ye ‘Olyā	37.06556	46.06244	PPL	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
RDC0504312	1397	3	Shelāk	36.17095	53.11975	PPL	IR|35	Iran|Māzandarān
RDC0504312	1341	3	Garīvash	36.06667	52.66667	PPL	IR|35	Iran|Māzandarān
RDC0504312	1250	4.2	Khoţb	37.4607	46.341	PPLQ	IR|33	Iran|East Azerbaijan
RDC0504312	1578	3	Basū	36.74713	53.49039	PPL	IR|35	Iran|Māzandarān
RDC0504312	1259	4.2	Qermez Khalīfeh-ye ‘Olyā	37.06556	46.06244	PPL	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
RDC0504312	1303	4.1	Qatūjā	36.03333	53.2	PPL	IR|35	Iran|Māzandarān
RDC0504312	1562	4.1	Garāyel Maḩalleh	36.69279	53.52394	PPL	IR|35	Iran|Māzandarān
RDC0504312	1253	4.2	Tāzeh Kand-e Zavāraq	37.29436	46.09849	PPL	IR|33	Iran|East Azerbaijan
RDC0504312	1274	4.1	Kalāteh-ye Ḩājjī Esḩaq ‘Alī	36.08705	53.80279	FRM	IR|25	Iran|Semnān
RDC0505411	1300	4.1	Sūteh Kolā	36.0954	53.1904	PPL	IR|35	Iran|Māzandarān
RDC0505411	1384	3	Kūh-e Ābandbān	36.1752	52.72958	MT	IR|35	Iran|Māzandarān
RDC0505411	1382	3	Tāreh Rūd	36.32893	52.5704	STM	IR|35	Iran|Māzandarān
RDC0505411	1380	3	Dā’ī Sar	36.2	52.66667	PPL	IR|35	Iran|Māzandarān
RDC0505411	1385	3	Tarū	36.23333	52.81667	PPL	IR|35	Iran|Māzandarān
RDC0505411	1381	3	Mamerz Kābon	36.26667	52.5	PPL	IR|35	Iran|Māzandarān
RDC0505411	1383	3	Kūh-e Chang Būr	36.25762	52.64763	MT	IR|35	Iran|Māzandarān
RDC1216811	1260	4.2	Nez̧āmābād	37.0437	45.9491	PPL	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
RDC1216811	1252	4.2	Khalīfeh Kandī	37.2904	46.3582	PPL	IR|33	Iran|East Azarbaijan
RDC1216811	1269	4.1	Kalāteh-ye Moḩīţ	36.04256	53.9944	FRM	IR|25	Iran|Semnān
RDC1216811	1349	3	Marganeh	36.08406	52.68574	RSRT	IR|35	Iran|Māzandarān
RDC1216811	1387	3	Ḩājjī Kolā	36.18333	52.78333	PPL	IR|35	Iran|Māzandarān
RDC1216811	1472	3	Afrāsīāb Kolā	36.36781	52.57014	PPL	IR|35	Iran|Māzandarān
RDC1216811	1292	4.1	Kūh-e Palang Āb	36.05119	53.528	MT	IR|25	Iran|Semnān
RDC1216811	1257	4.2	Ārpā Darrehsī	37.0749	46.3968	PPL	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
RDC1216811	1307	4.1	Kūh-e Esţelaḩ	36.02043	53.15208	MT	IR|35	Iran|Māzandarān
RDC1216811	1319	3	Takht-e Marsal	36.004	53.0108	AREA	IR|35	Iran|Māzandarān
RDC1216811	1255	4.2	Darbsar	37.1051	45.5249	FRMQ	IR|01	Iran|Āz̄ārbāyjān-e Gharbī
